,ph,hardness,solids,chloramines,conductivity,organic_carbon,trihalomethanes,turbidity,potability
0,3.716080075,129.4229205,18630.05786,6.635245884,592.8853591,15.18001312,56.32907628,4.500656275,0
1,8.099124189,224.2362594,19909.54173,9.275883603,418.6062131,16.86863693,66.42009251,3.05593375,0
2,8.316765884,214.3733941,22018.41744,8.059332377,363.2665162,18.4365245,100.3416744,4.628770537,0
3,9.092223456,181.1015092,17978.98634,6.546599974,398.4108134,11.55827944,31.99799273,4.075075425,0
4,5.584086638,188.3133238,28748.68774,7.544868789,280.4679159,8.39973464,54.91786184,2.559708228,0
5,10.22386216,248.0717353,28749.71654,7.513408466,283.6516335,13.78969532,84.60355617,2.672988737,0
6,8.635848719,203.3615226,13672.09176,4.563008686,474.6076449,12.3638167,62.79830896,4.401424715,0
7,11.18028447,227.2314692,25484.50849,9.077200017,563.8854815,17.92780641,71.97660103,4.370561937,0
8,7.360640106,165.5207973,32452.61441,7.550700907,425.3834195,15.58681044,78.74001566,3.662291783,0
9,7.974521649,218.6933005,18767.65668,8.110384501,364.0982305,14.5257457,76.48591118,4.011718108,0
10,7.119824384,156.7049933,18730.81365,3.606036091,347.7150273,15.92953591,79.50077834,3.445756223,0
11,7.496232208,205.3449822,28388.00489,5.072557774,444.6453523,13.2283111,70.30021265,4.777382337,0
12,6.347271761,186.7328807,41065.23476,9.629596276,516.7432819,11.53978119,75.07161729,4.376348291,0
13,7.0517858,211.0494061,30980.60079,10.09479601,315.1412672,20.39702184,56.65160379,4.268428858,0
14,9.181560007,273.8138067,24041.32628,6.904989726,477.9746419,13.38734078,71.45736221,4.503660796,0
15,8.975464348,279.3571668,19460.39813,6.204320859,431.44399,12.88875905,63.8212371,2.43608559,0
16,7.371050302,214.4966105,25630.32004,4.43266929,469.9145515,12.50916394,62.79727715,2.560299148,0
17,6.660212026,168.2837469,30944.36359,5.858769131,523.6712975,17.88423519,77.04231805,3.749701241,0
18,3.902475686,196.9032467,21167.5001,6.996311586,444.4788825,16.60903316,90.18167588,4.528522696,0
19,5.400301781,140.7390623,17266.59342,10.05685248,472.8740733,11.25638117,56.93190645,4.82478639,0
20,6.514415093,198.7673513,21218.70287,8.67093692,413.2904501,14.89999957,79.84784281,5.200885077,0
21,3.445061864,207.9262602,33424.76868,8.782147481,441.7858757,13.80590221,30.2845972,4.184396969,0
22,7.181448581,209.6256005,15196.22999,5.994678646,342.1112863,7.922598333,71.53795326,5.088859989,0
23,9.825489908,190.7566183,19677.89247,6.757540731,452.8362349,16.8990378,47.08197119,2.857472426,0
24,10.43329098,117.7912296,22326.89205,8.161504811,412.9868338,12.89070856,65.73347839,5.057310517,0
25,7.414148196,235.0445345,32555.85254,6.845952024,411.9833642,10.24481507,44.48929725,3.160624468,0
26,5.115817064,191.952743,19620.54533,6.060712995,441.7483793,10.96648615,49.23823132,3.902088768,0
27,3.641629777,183.9087223,24752.07246,5.538314133,456.8600959,9.034066753,73.59465676,3.464353035,0
28,5.618064406,304.2359121,17281.97517,6.101083505,399.4715663,12.26500158,81.58899246,2.896546941,0
29,9.267187531,198.6143947,24683.72357,6.110612421,396.8769491,16.47196935,30.38331457,4.324004646,0
30,5.331940479,194.8740654,16658.8765,7.993829562,335.1203984,10.1805138,59.57271371,4.434820258,0
31,7.145771545,238.6899285,28780.34043,6.814028701,332.0327063,11.0931634,66.13804475,5.182590704,0
32,9.920691059,202.817483,9973.934059,6.882248307,333.1924699,23.91760126,71.83362396,4.69070723,0
33,4.758439425,183.3494541,21568.42878,4.731348985,403.9441682,18.66822946,66.91240003,4.542801462,0
34,5.702925977,216.8504739,35606.44018,7.184351089,504.6382604,16.14079002,77.53618352,4.137739016,0
35,6.953864226,209.638293,10575.18628,4.462707246,391.1843151,13.28533392,87.39088898,3.195710328,0
36,10.68296643,173.3754984,15758.74062,5.570783575,323.8079132,10.09086975,78.47278445,3.999775382,0
37,8.757257397,200.1914004,21536.22469,4.915101055,404.7177992,13.76832331,47.93087188,3.626135442,0
38,7.809631898,100.4576151,12013.55063,5.212314602,605.2201244,9.61134874,66.08417364,2.447444464,0
39,6.652488091,145.0101719,19871.78845,4.96106638,545.9749938,10.94202426,71.72741406,3.742090426,0
40,9.147197055,211.7141418,11920.61084,7.230794769,527.70891,18.27531211,47.63488493,3.794531591,0
41,10.56074464,181.8933656,21783.65103,6.991259996,456.5564021,16.48283537,34.25204908,3.96468635,0
42,7.484254838,260.0921726,30616.61515,9.379133541,404.6707773,15.93448387,66.62102655,4.781188177,0
43,8.520806573,238.3351125,28779.65001,8.282808465,481.3188027,6.016336609,39.09117136,3.94060453,0
44,4.999413811,190.2870501,24323.8659,7.230164127,405.330482,8.236557503,99.42738492,4.460683932,0
45,3.906078355,233.402835,32144.79993,6.994839617,269.4490512,9.6541256,63.74306384,3.902879712,0
46,6.391353624,213.0178297,20965.47831,5.375559892,369.3381209,13.75810517,17.91572257,3.923749169,0
47,8.692092013,195.1437388,24656.23968,8.231900338,398.345418,12.38077079,48.44072487,4.477960248,0
48,8.085759801,127.7396738,32653.91036,6.53423741,416.2396301,11.11965925,78.27505004,4.068688909,0
49,6.203977702,212.3066183,21815.07415,7.873991885,362.1080043,14.93301266,63.87381995,5.215689206,0
50,5.058108869,238.5693804,34873.93452,8.983276144,669.7250862,13.35318143,76.52179975,5.106655774,0
51,7.261550522,179.8897882,24964.7777,5.837086493,501.1827807,17.28771328,50.99300645,3.636364183,0
52,7.160467231,183.08931,6743.346066,3.803036424,428.0363444,9.79962469,90.03537367,3.884891044,0
53,5.704764776,116.2993299,33223.58153,7.05050316,504.378681,9.001820488,48.14703125,4.157533407,0
54,6.217273135,130.9444639,19460.38282,7.092462955,556.65371,14.08360835,57.89707471,5.325833446,0
55,8.67993497,242.2286673,22984.05095,7.518764659,352.9425881,18.70440906,69.90790245,3.873470298,0
56,6.897322141,211.3601667,25650.77764,6.766009907,383.0143102,13.93478804,90.52332986,5.02278363,0
57,3.514545529,158.7320758,23029.66361,6.821679099,307.379142,9.712231911,79.85092857,3.762615331,0
58,3.722500486,163.6397469,37962.16799,6.684570274,467.5629729,14.56726886,50.5779791,3.662837732,0
59,6.455004797,176.6839728,24468.04839,5.756930039,477.5813462,16.24550434,57.72972383,2.293431406,0
60,7.316804754,217.522862,31903.39981,9.865047503,425.9134002,8.992754272,69.50921982,3.50837265,0
61,1.844538366,233.7643427,28689.59578,7.7244323,410.3872638,15.6118593,54.29944409,5.013463351,0
62,7.408985467,204.9617498,9566.12227,6.505923139,504.1459941,11.53214401,81.10693773,3.772420928,0
63,5.976769618,258.952732,27267.98186,7.648599331,514.1189201,12.25679025,82.46979843,2.994671096,0
64,6.395359132,133.8342291,23827.27502,5.127746861,573.4002951,9.833874585,95.02660928,4.191217515,0
65,6.20964226,195.4177209,13116.70771,7.879347671,417.241656,7.507662315,70.54738691,3.612519615,0
66,6.762832522,232.0751766,27159.38435,7.884990658,465.4137746,13.86396488,64.81225738,4.916579161,0
67,9.918717064,199.1812511,21470.27831,6.79984141,430.5077069,15.96604294,59.29227327,3.385508444,0
68,10.15544017,300.2924758,12652.36298,6.655126363,487.459131,9.347633986,67.91978869,5.00246726,0
69,8.721726711,206.3696824,28608.05208,6.325442404,506.9383527,13.55375101,42.38148394,2.555026904,0
70,6.099646705,237.9199268,20416.841,8.457830699,291.1048366,19.27005426,93.13800948,3.172789769,0
71,9.02678772,253.2170742,27965.07215,6.588374366,588.3196505,16.14573205,59.12445085,2.019042018,0
72,6.953371603,203.1465468,11609.10905,5.495737655,551.1433372,9.387781276,55.95800559,3.651865808,0
73,6.140877557,197.8760897,26687.87448,7.587196418,548.0727613,15.83633021,41.26364788,5.359460295,0
74,7.077874007,220.6705396,23873.37821,6.181839616,333.0507859,10.66179894,90.29777033,4.764508265,0
75,5.488314309,135.8023617,21485.1532,8.187415791,441.3311375,14.86026268,88.28734556,5.066786272,0
76,7.205559175,120.3276153,24627.86756,6.202469332,418.4332899,13.64314709,63.73373237,3.710053126,0
77,9.177869866,163.2748283,20868.33122,7.726040434,426.9943932,10.2142746,62.43092616,3.108769988,0
78,4.270716195,166.8377085,24405.25053,7.391510138,349.5189104,13.47852645,54.47483954,3.763905903,0
79,7.348844512,223.2649397,11519.04653,8.88955868,494.1584341,18.14537425,73.71552202,4.880875156,0
80,8.52616987,175.6128363,11837.12336,7.483708838,474.2404823,21.84591625,52.37220111,5.083014142,0
81,2.612035915,188.8041257,34798.25259,6.796439154,468.0802666,13.17076321,49.52376998,4.76520537,0
82,8.490571562,204.1236484,22989.79639,8.270792937,435.0008983,17.08424565,62.42163706,3.875556805,0
83,8.858401531,254.6175187,9624.300462,7.954015627,344.3033625,7.935467758,78.10854982,5.525726338,0
84,6.098156521,189.995846,27776.90105,6.443097878,245.859632,14.63688226,73.42463246,3.977362364,0
85,8.419970682,185.7189888,13237.9896,3.998265841,463.6472774,17.20956506,48.78311166,3.962478314,0
86,7.875895135,226.2847878,12710.24945,7.303126583,445.3741474,6.063461913,63.12804403,4.238589203,0
87,7.725332908,252.2654912,36477.73811,8.386761008,339.4113267,17.48584425,60.48388466,3.724836704,0
88,3.388090611,212.0289445,20230.12558,8.56978153,353.9129274,18.20833967,82.38787399,2.798600948,0
89,6.745306715,218.424637,21871.8387,7.165509192,373.0501016,16.82661946,74.08607997,3.90235259,0
90,7.183825723,261.8507998,14100.96899,9.008495194,290.4238384,17.14990713,82.0251158,4.597165512,0
91,10.1119767,240.4321002,15331.30269,5.392651282,403.0418101,16.13112429,61.11114634,3.425763242,0
92,6.877456933,136.8792139,27433.58729,7.091521514,342.1963466,18.40384583,81.19341217,3.827650072,0
93,7.521051679,267.0596474,26865.37374,10.44945031,505.7093717,16.23774577,57.03778017,2.880785347,0
94,8.550875469,231.2487868,28918.41995,7.822528491,432.28527,16.26629669,73.14946432,3.772886607,0
95,10.30847766,217.2197464,27653.23518,8.912266341,382.9515048,6.580401551,59.57603991,3.285077052,0
96,7.371085073,207.7168244,24913.83717,9.616330437,363.1685384,11.54266178,67.72070438,4.412589537,0
97,11.18069466,228.3008604,16600.39275,6.094000531,504.0505391,15.03504691,110.7392993,3.809841654,0
98,6.506487767,202.2859379,17087.0769,6.201982767,481.7719343,16.53518593,46.20574791,3.548775589,0
99,6.643935775,151.8896001,10909.19459,3.749625148,437.9090052,15.26474235,64.2039637,3.812952926,0
100,5.03377399,155.3214775,34971.80748,7.121477448,500.6373262,18.31249854,63.19330599,3.244948477,0
101,6.912607562,155.7404952,17973.17886,4.916302562,439.6480512,18.38071193,55.50746847,2.612248953,0
102,7.977635991,245.8951304,32170.06916,9.635636083,473.6624528,11.7283382,23.8170199,3.5521295,0
103,6.078335837,197.5019119,35957.79218,8.130472208,360.0604774,20.09841289,41.86595951,4.201580906,0
104,6.242414484,191.9087295,28149.41179,7.1304368,448.2425267,19.37009087,60.93948098,4.508705098,0
105,6.06335479,160.7673113,14775.1456,7.484103647,327.2702387,12.30901596,69.03845387,3.467336915,0
106,8.129585514,177.8989666,27834.2177,9.006007747,397.0214276,15.93626168,81.3907585,3.362537135,0
107,9.562405944,202.0136426,13041.82914,5.820655208,433.3816667,14.13906591,63.54899266,3.762719837,0
108,8.167792632,200.9137547,27141.3629,7.262416639,525.5987875,16.142284,66.23143554,4.289395484,0
109,8.594416135,270.0227059,15791.67535,5.912690624,672.5569992,20.18405147,54.96128525,3.568991708,0
110,6.825467901,187.0517097,46140.12685,6.137757462,373.4272355,12.60638165,58.75220132,3.027449578,0
111,7.861177701,204.2742411,25145.02412,7.923315375,469.4869612,15.99341035,86.16729829,4.157656628,0
112,4.96577356,220.8486386,21802.7449,6.250578031,386.4133315,18.03523754,53.90817735,3.421766849,0
113,6.207432968,192.9370271,13442.60347,5.81902294,533.7958508,14.68753934,60.48503329,3.549298841,0
114,9.769251006,264.2656543,8471.677381,8.349709767,353.1964755,15.04708691,52.64545853,4.636556195,0
115,9.63066548,152.8624335,23641.70257,6.92570608,417.1670729,16.67018392,89.99757422,4.920091158,0
116,5.187471605,104.752425,20060.07873,6.913910914,368.8154286,15.14034849,98.65664588,3.203257896,0
117,7.633570088,199.6529996,16312.15497,9.900546897,420.5341718,10.53939227,100.242706,2.927066767,0
118,5.77119905,155.0508931,24909.44401,6.53126127,313.7019343,11.704789,85.68830345,4.688959065,0
119,6.579969329,197.2269809,17657.08418,4.506293474,254.3932756,9.847655276,73.74971647,4.575931872,0
120,4.801154368,180.7728708,13556.7344,8.977286381,587.3950117,12.40136807,62.02818652,4.418638132,0
121,7.948815718,238.2364097,19129.45837,5.851964962,434.6554586,8.663293701,67.30404028,3.692250861,0
122,6.906992172,216.7852908,19991.23915,7.302351651,356.4591369,9.614106025,61.12264363,2.124759352,0
123,7.726134808,233.9478637,21667.86874,6.313181872,472.2589937,14.39986002,36.57803789,3.720636904,0
124,8.927078148,241.875105,22821.25438,8.549738274,380.1972,10.85928728,75.85706782,4.601860959,0
125,6.20801554,153.2211063,17358.79637,8.214938853,481.1956735,14.27409228,62.71819917,4.334615732,0
126,6.128425635,141.4924095,9615.83271,7.62791913,415.0087369,16.43584291,50.69392671,4.633823862,0
127,7.308048848,274.7049505,14600.53952,8.105802882,415.6072778,16.7616247,68.93722695,3.696119712,0
128,8.640886409,201.5687241,26473.71324,6.967094562,309.9832868,17.66508338,68.66492348,5.263101572,0
129,8.153210075,127.1448918,10280.9295,5.828357794,487.9083272,11.94347658,90.61935439,2.905788134,0
130,8.29372011,206.1604149,35216.38597,6.440999766,399.4836212,16.06566794,79.95451096,3.954715283,0
131,9.489972878,234.0699652,15513.74038,4.735332224,277.9700697,16.69821637,81.42717402,4.219967522,0
132,7.830976343,190.7990441,7695.063935,4.845205476,507.4454883,15.52665845,85.0095059,4.588784657,0
133,4.430281212,139.6857588,28862.25717,8.961372377,434.7812671,17.29929446,63.04250092,4.384565156,0
134,7.240739639,201.1868045,23783.09956,7.75128544,579.2203941,13.4863791,62.6502355,3.556297467,0
135,6.867301322,174.1849764,24112.15347,5.529942236,484.1229389,11.482687,65.30441362,3.82359504,0
136,6.129637015,200.2781822,30989.94841,8.830102319,341.3885767,9.300117278,79.55361207,4.615886181,0
137,7.917049443,278.056321,27192.28056,9.220128211,358.7817362,15.05431287,56.83960203,3.659484625,0
138,6.511618075,181.8734217,29136.81462,7.685775096,475.3413507,12.32123216,52.43761714,4.850433708,0
139,5.323815584,232.36858,37625.75268,8.879822934,580.8977004,12.29380305,55.31001941,2.880721846,0
140,6.769572869,168.9370725,11067.18115,7.121263609,289.5424601,18.54590296,62.00157128,5.22054027,0
141,5.87797404,141.6152867,13652.2932,5.701659125,538.4954044,12.03404227,67.90725801,4.032259504,0
